seed,size,improvement
0,6000,188.47979237252738
0,12000,215.7365980026422
0,25000,207.2551329625199
0,50000,213.38069493154723
0,100000,209.9698822274695
0,200000,205.6800547762047
0,400000,210.14171323829004
1,6000,203.07056002876092
1,12000,205.93191203361965
1,25000,207.75301403731743
1,50000,203.43896380749095
1,100000,190.51244629354315
1,200000,191.96950336153674
1,400000,206.5709711141229
2,6000,213.85346608013077
2,12000,202.09576536894392
2,25000,184.92897678014754
2,50000,198.48505892559368
2,100000,199.5325443416594
2,200000,198.41954997429437
2,400000,205.8782287322752
3,6000,202.84469852539812
3,12000,221.87876413246804
3,25000,177.01800251309515
3,50000,205.79399670978194
3,100000,205.02329672141792
3,200000,205.66736941116105
3,400000,217.807847210699
4,6000,-27.330442780778952
4,12000,-62.68292721674087
4,25000,204.92524566913352
4,50000,194.58957007581967
4,100000,197.92766227026038
4,200000,204.39204004496276
4,400000,206.56365340844357
5,6000,-9.294218588996294
5,12000,208.21971187358542
5,25000,199.43047226180573
5,50000,218.26128757167086
5,100000,203.52164562548757
5,200000,204.9722139700122
5,400000,214.0284751380711
6,6000,44.096651645808606
6,12000,48.66932346383965
6,25000,191.53885721075105
6,50000,206.0420301883491
6,100000,217.54290415261676
6,200000,221.05734728048822
6,400000,213.05517667546496
7,6000,86.0689260102001
7,12000,207.89983363868768
7,25000,195.59921758228387
7,50000,199.14097533003394
7,100000,194.7216604909317
7,200000,201.04599243724584
7,400000,207.8522422535155
8,6000,71.5926651477437
8,12000,142.8685025991728
8,25000,200.49470904037352
8,50000,196.67424296492695
8,100000,202.23704812989573
8,200000,199.54998925472626
8,400000,202.07230527226199
9,6000,28.47552771595645
9,12000,201.49283463583214
9,25000,182.74004292463295
9,50000,203.22224786365862
9,100000,211.97157659472703
9,200000,210.48914592007142
9,400000,210.87608121655666
10,6000,-27.76309285892047
10,12000,132.81943330648667
10,25000,217.80724866856067
10,50000,210.26679260574426
10,100000,207.90292633104755
10,200000,211.3807905468021
10,400000,207.88761678748472
11,6000,108.47070545794347
11,12000,34.52678164144978
11,25000,177.2461307594274
11,50000,172.6922660462747
11,100000,200.58592906312094
11,200000,187.4827059528121
11,400000,210.14352262623729
12,6000,156.3366841670899
12,12000,191.7078231771273
12,25000,221.3002635862627
12,50000,202.28343993778805
12,100000,185.0507105189883
12,200000,202.84837401227392
12,400000,207.43981260462115
13,6000,32.60833133399923
13,12000,196.0685774033527
13,25000,210.86285682289906
13,50000,196.67622434512873
13,100000,201.31404178559205
13,200000,204.2883324865651
13,400000,213.0362676453332
14,6000,97.05824191080741
14,12000,200.68720915701567
