seed,size,improvement
0,6000,-1.1303423822252245
0,12000,1.6674403805440496
0,25000,2.1075712415508985
0,50000,-3.3075709357553884
0,100000,-3.015091780676271
0,200000,-0.596054046336636
0,400000,-0.688941359561912
1,6000,-7.2887953894706925e-06
1,12000,-0.359771886946314
1,25000,-4.3205233623043515
1,50000,-1.6353862976739575
1,100000,0.41496145127848383
1,200000,0.18336715175757412
1,400000,-0.7158681472666295
2,6000,-3.771023019733044
2,12000,-1.3923242683631543
2,25000,-10.405665125409481
2,50000,-3.6675135869634334
2,100000,1.0724877962168922
2,200000,0.382122656453765
2,400000,2.5708951478372377
3,6000,-13.519086600807151
3,12000,0.3175166349949965
3,25000,-0.827148853916515
3,50000,-2.565272519727557
3,100000,0.6123051148693159
3,200000,0.42546560525225097
3,400000,-1.2586649944093753
4,6000,-2.078612656008416
4,12000,-7.8827236633597035
4,25000,-4.924676557243912
4,50000,-5.402479030645635
4,100000,-0.48230122857150226
4,200000,-2.8954637930001526
4,400000,1.4210542393817693
5,6000,0.3894866667226715
5,12000,-1.2347508282764985
5,25000,-1.6248865005278224
5,50000,-1.036972861354768
5,100000,-1.764829813549651
5,200000,1.1612758527207
5,400000,2.184120379745269
6,6000,4.603274419018999
6,12000,0.40851926406981764
6,25000,-7.389300443534452
6,50000,-8.690619278123235
6,100000,-7.634143713519103
6,200000,0.48917647601496306
6,400000,-0.8363379153703887
7,6000,-0.2036322000773083
7,12000,-3.421032771251009
7,25000,-0.9197450183221711
7,50000,-3.347910526870712
7,100000,-0.791888310001343
7,200000,2.218983039290112
7,400000,-0.1073069986179287
8,6000,-50.4887708138005
8,12000,-78.32184860817209
8,25000,-6.93408522034118
8,50000,1.6949700342720586
8,100000,3.3948585715072532
8,200000,-3.0368944992946845
8,400000,-0.6203428563843594
9,6000,-2.670655780840425
9,12000,3.3918318419117632
9,25000,3.569458652587998
9,50000,6.219490578385356
9,100000,5.164369233315025
9,200000,-0.5954983902002886
9,400000,1.0739314396263078
10,6000,-11.058328285284569
10,12000,-8.913082192497846
10,25000,-2.287779153599745
10,50000,-4.6825041947205825
10,100000,-4.645270908956278
10,200000,-3.6447161572526476
10,400000,-0.6066437416660686
11,6000,-16.560871827818058
11,12000,-8.077477312625758
11,25000,0.030604975169445936
11,50000,-0.7839840942130638
11,100000,2.2364107658188415
11,200000,2.761194524357169
11,400000,1.359005468284069
12,6000,0.10022731981935706
12,12000,1.261560491728697
12,25000,1.7698502343453493
12,50000,4.179976902922
12,100000,3.4884266481497894
12,200000,3.076298396927979
12,400000,4.660139128644936
13,6000,0.08649135441884948
13,12000,-10.038786016828826
13,25000,-2.1724063392729254
13,50000,-2.251729913253464
13,100000,-1.0827946299700186
13,200000,2.4001548270360606
13,400000,0.7392351418152421
14,6000,-36.29617645187131
14,12000,-2.208783689986682
14,25000,5.149250927612181
14,50000,-1.0936262329222401
14,100000,-1.9697051356341588
14,200000,1.269546800048782
14,400000,1.9778493282920362
15,6000,-45.403710145185414
15,12000,-2.3695654055518323
15,25000,-2.614942011002186
15,50000,0.5352865486083269
15,100000,-1.430922237482013
15,200000,-2.3019360603686256
15,400000,0.9750580509254592
16,6000,-95.34687487542858
16,12000,-7.468980715275686
16,25000,-7.139695462760953
16,50000,-4.173025465648861
16,100000,-1.2612001056383049
16,200000,-2.194066801913419
16,400000,-1.8682732729260798
17,6000,-26.028837020505446
17,12000,-2.862088488005443
17,25000,-4.087068489565415
17,50000,-3.0586344000843257
17,100000,-2.660684303894667
17,200000,0.17510656441932504
17,400000,0.738608484883474
18,6000,0.3980716612732804
18,12000,0.2043009332012291
18,25000,-1.1197784860139448
18,50000,-1.1312853497787212
18,100000,3.682261116738861
18,200000,-1.404192721357378
18,400000,1.109028134603629
19,6000,-9.576755505807789
19,12000,-1.0214149503465997
19,25000,-3.343935594715053
19,50000,3.0064168996726703
19,100000,-1.2917982229771807
19,200000,0.12813902053505632
19,400000,-2.307711978209459
20,6000,-1.719279873593571
20,12000,-2.251993897950144
20,25000,-7.605318126219296
20,50000,-5.166542919277195
20,100000,-2.4065130246122335
20,200000,-3.865153268377375
20,400000,0.2302069944227325
21,6000,-67.5867840609248
21,12000,-5.315870927863598
21,25000,-2.4041073247842437
21,50000,-4.550737850803676
21,100000,-2.7688272688749627
21,200000,0.07461098903185359
21,400000,-1.5854982930418537
22,6000,-38.05834048712029
22,12000,-5.813263925013146
22,25000,-14.56038065925165
22,50000,-6.393666050041535
